duration,forward_packets,backward_packets,total_packets,forward_bytes,backward_bytes,total_bytes,average_packet_size,packets_per_second,bytes_per_second,target
5e-05,1,2,3,0,0,0,0.0,60000.0,0.0,0
7.5e-05,3,1,4,4,4,8,3.0,53333.33333,106666.6667,0
0.000208,4,0,4,46,0,46,11.5,19230.76923,221153.8462,0
0.514004,3,1,4,0,6,6,1.5,7.782040607,11.67306091,0
60.13092,5,3,8,216,1533,1749,218.625,0.133043033,29.08653318,0
60.130912,5,3,8,213,1619,1832,229.0,0.133043051,30.46685871,0
3.895966,5,1,6,135,46,181,37.83333333,1.540054508,46.45831098,0
3.895242,5,1,6,135,46,181,37.83333333,1.540340754,46.46694608,0
3.896308,5,1,6,135,46,181,37.83333333,1.539919329,46.45423308,0
3.895052,5,1,6,135,46,181,37.83333333,1.540415892,46.46921273,0
3.896461,5,1,6,135,46,181,37.83333333,1.539858862,46.45240899,0
31.020664,8,4,12,372,452,824,73.0,0.386838915,26.56293882,0
0.083718,4,2,6,184,300,484,88.33333333,71.66917509,5781.313457,0
10.706606,29,24,53,8142,4220,12362,233.245283,4.950214849,1154.614263,0
60.166984,6,4,10,237,4593,4830,483.0,0.16620411,80.27658491,0
0.024027,2,2,4,68,100,168,50.5,166.4793774,6992.133849,0
1.029807,3,3,6,0,18,18,3.0,5.826334449,17.47900335,0
2.979847,2,1,3,0,0,0,0.0,1.006763099,0.0,0
0.028315,1,1,2,6,6,12,9.0,70.63393961,423.8036376,0
0.028466,1,1,2,6,6,12,9.0,70.25925666,421.5555399,0
101.027175,14,12,26,1029,991,2020,79.46153846,0.257356498,19.99462026,0
0.00033,2,2,4,74,198,272,77.25,12121.21212,824242.4242,0
0.000221,2,2,4,74,106,180,54.25,18099.54751,814479.638,0
0.000302,2,2,4,70,460,530,141.25,13245.03311,1754966.887,0
0.000283,2,2,4,70,460,530,141.25,14134.27562,1872791.519,0
0.000166,2,2,4,70,302,372,101.75,24096.38554,2240963.855,0
0.000275,2,2,4,80,290,370,102.5,14545.45455,1345454.545,0
0.000266,2,2,4,80,326,406,111.5,15037.59398,1526315.789,0
0.102033,2,2,4,64,196,260,73.0,39.20300295,2548.195192,0
0.051453,2,2,4,64,204,268,75.0,77.74085087,5208.637009,0
0.00114,2,2,4,72,246,318,88.5,3508.77193,278947.3684,0
0.000293,2,2,4,72,328,400,109.0,13651.87713,1365187.713,0
1.33397,41,42,83,2664,6954,9618,115.8795181,62.22028981,7210.057198,0
0.000187,1,1,2,0,0,0,0.0,10695.18717,0.0,0
1.335604,41,42,83,2728,6634,9362,112.7951807,62.14416848,7009.562715,0
0.000111,1,1,2,0,0,0,0.0,18018.01802,0.0,0
0.143347,47,60,107,1325,108751,110076,1028.747664,746.4404557,767898.8748,0
0.143899,46,58,104,1325,110185,111510,1072.211538,722.7291364,774918.5192,0
0.142605,45,58,103,1325,108751,110076,1068.699029,722.274815,771894.3936,0
0.142499,46,53,99,1313,100063,101376,1024.0,694.7417175,711415.5187,0
0.023828,27,31,58,162,59368,59530,1026.482759,2434.11113,2498321.303,0
0.11909,23,28,51,1169,45025,46194,905.7647059,428.2475439,387891.5106,0
0.023841,26,31,57,156,59368,59524,1044.385965,2390.83931,2496707.353,0
0.199037,47,63,110,1325,100049,101374,921.5818182,552.661063,509322.3873,0
0.142923,46,60,106,1307,95705,97012,915.2075472,741.6580956,678771.0865,0
0.4468,23,28,51,1169,43577,44746,877.372549,114.1450313,100147.7171,0
0.141851,47,55,102,1325,98601,99926,979.6666667,719.0643704,704443.3948,0
0.145376,51,60,111,1331,110185,111516,1004.648649,763.5373101,767086.7268,0
0.142904,47,56,103,1313,104393,105706,1026.271845,720.7635895,739699.3786,0
0.142508,50,59,109,1331,104393,105724,969.9449541,764.8693407,741881.1575,0
0.142561,48,59,107,1319,110185,111504,1042.093458,750.5559024,782149.3957,0
0.142389,52,60,112,1337,110185,111522,995.7321429,786.5776148,783220.614,0
0.142403,45,58,103,1319,103922,105241,1021.757282,723.2993687,739036.3967,0
0.142089,45,55,100,1313,104393,105706,1057.06,703.7842479,743942.1771,0
0.142098,49,58,107,1325,104393,105718,988.0186916,753.0014497,743979.5071,0
0.128912,21,26,47,1169,43577,44746,952.0425532,364.5897977,347105.0019,0
0.143215,50,61,111,1337,110185,111522,1004.702703,775.0584785,778703.3481,0
0.185921,48,58,106,1337,105841,107178,1011.113208,570.1346271,576470.6515,0
0.131198,29,50,79,1169,92809,93978,1189.594937,602.1433254,716306.651,0
0.187746,48,64,112,1331,100049,101380,905.1785714,596.5506589,539984.8732,0
0.18845,47,59,106,1325,100049,101374,956.3584906,562.4834174,537935.792,0
0.300724,49,65,114,1325,102959,104284,914.7719298,379.0851412,346776.4462,0
0.195652,49,60,109,1343,105841,107184,983.3394495,557.1116063,547829.8203,0
0.143173,51,58,109,1337,104393,105730,970.0,761.3167287,738477.2269,0
0.142748,47,57,104,1325,108751,110076,1058.423077,728.5566173,771121.1365,0
0.142235,47,57,104,1319,101497,102816,988.6153846,731.1843077,722860.0555,0
0.152597,42,51,93,1283,95705,96988,1042.88172,609.4484164,635582.613,0
0.142263,47,58,105,1331,104393,105724,1006.895238,738.0696316,743158.7974,0
0.142478,49,57,106,1325,104393,105718,997.3396226,743.9745083,741995.2554,0
0.125417,29,55,84,1169,98601,99770,1187.738095,669.7656618,795506.1913,0
0.188411,43,59,102,1313,105841,107154,1050.529412,541.3696653,568724.756,0
0.141785,44,55,99,1313,93786,95099,960.5959596,698.2402934,670726.8047,0
0.155181,78,106,184,1457,215903,217360,1181.304348,1185.712168,1400686.94,0
0.200946,47,56,103,1325,100049,101374,984.2135922,512.5755178,504483.7917,0
0.142298,45,55,100,1301,104393,105694,1056.94,702.7505657,742765.1829,0
0.196861,44,58,102,1319,105841,107160,1050.588235,518.132083,544343.4708,0
0.197144,45,56,101,1313,100049,101362,1003.584158,512.3158706,514152.0919,0
0.14223,53,61,114,1343,110185,111528,978.3157895,801.5186669,784138.3674,0
0.143922,46,59,105,1313,110185,111498,1061.885714,729.561846,774711.302,0
0.142755,47,59,106,1331,108751,110082,1038.509434,742.5309096,771125.3546,0
0.12497,31,50,81,1169,95705,96874,1195.975309,648.1555573,775178.0427,0
0.142117,47,54,101,1325,102959,104284,1032.514851,710.6820437,733789.7648,0
0.142224,45,54,99,1307,102959,104266,1053.191919,696.0850489,733111.1486,0
0.143176,48,57,105,1319,104393,105712,1006.780952,733.3631335,738336.034,0
0.142472,47,65,112,1319,110185,111504,995.5714286,786.1193778,782637.992,0
0.185687,47,59,106,1325,105841,107166,1011.0,570.8531023,577132.4864,0
0.142746,42,56,98,1319,108751,110070,1123.163265,686.5341235,771089.9079,0
0.185922,46,58,104,1319,105841,107160,1030.384615,559.3743613,576370.7361,0
0.143435,49,58,107,1325,108751,110076,1028.747664,745.9825008,767427.7547,0
0.186578,48,62,110,1331,100049,101380,921.6363636,589.565758,543365.2413,0
0.190175,49,60,109,1337,105841,107178,983.2844037,573.1563034,563575.654,0
0.14221,44,56,100,1313,110185,111498,1114.98,703.18543,784037.6907,0
0.142963,50,61,111,1337,110185,111522,1004.702703,776.4246693,780075.9637,0
0.142878,48,61,109,1331,110185,111516,1023.082569,762.8886183,780498.0473,0
0.190109,47,54,101,1331,107303,108634,1075.584158,531.2741638,571430.0743,0
0.143397,49,59,108,1319,113081,114400,1059.259259,753.1538317,797785.1698,0
0.250001,19,27,46,1169,46473,47642,1035.695652,183.999264,190567.2377,0
0.188539,45,59,104,1319,104407,105726,1016.596154,551.6100117,560764.6163,0
0.142469,48,59,107,1325,110185,111510,1042.149533,751.0405772,782696.5866,0
0.023598,26,30,56,156,56486,56642,1011.571429,2373.082465,2400288.16,0
0.142921,49,58,107,1325,104393,105718,988.0186916,748.6653466,739695.3562,0
0.142553,44,55,99,1319,105855,107174,1082.565657,694.4785448,751818.6218,0
0.142823,48,53,101,1319,104393,105712,1046.653465,707.1690134,740160.8985,0
0.143432,49,61,110,1331,110185,111516,1013.781818,766.9139383,777483.4068,0
0.153205,69,116,185,1415,215903,217318,1174.691892,1207.532391,1418478.509,0
0.118987,22,27,49,1169,43577,44746,913.1836735,411.8096935,376057.8887,0
0.143445,48,59,107,1331,105855,107186,1001.738318,745.930496,747227.1602,0
0.024781,25,29,54,150,55024,55174,1021.851852,2179.088818,2226463.823,0
0.142625,45,55,100,1319,108751,110070,1100.7,701.1393514,771744.0841,0
0.144147,47,58,105,1313,110185,111498,1061.885714,728.4230681,773502.05,0
0.312417,24,31,55,1169,47921,49090,892.5454545,176.046758,157129.7337,0
0.19756,44,56,100,1313,105841,107154,1071.54,506.1753391,542387.1229,0
0.207397,48,55,103,1337,105841,107178,1040.563107,496.6320631,516777.0026,0
0.144045,48,58,106,1325,107289,108614,1024.660377,735.8811483,754028.2551,0
0.201971,47,57,104,1325,100049,101374,974.75,514.9254101,501923.5435,0
0.18808,43,56,99,1313,104407,105720,1067.878788,526.3717567,562101.2335,0
0.142377,46,62,108,1325,105855,107180,992.4074074,758.5494848,752790.1276,0
0.196656,44,58,102,1313,101511,102824,1008.078431,518.6721992,522862.2569,0
0.141942,47,56,103,1319,104393,105712,1026.330097,725.6485043,744754.8999,0
0.142878,50,61,111,1331,110185,111516,1004.648649,776.8865746,780498.0473,0
0.125846,30,53,83,1169,98601,99770,1202.048193,659.5362586,792794.3677,0
0.119881,20,26,46,1169,46473,47642,1035.695652,383.7138496,397410.7657,0
0.023547,25,28,53,150,56486,56636,1068.716981,2250.817514,2405232.089,0
0.142554,47,57,104,1313,104393,105706,1016.403846,729.5481011,741515.4959,0
0.142702,44,53,97,1307,101497,102804,1059.835052,679.7381957,720410.3657,0
0.14279,45,57,102,1325,108751,110076,1079.176471,714.3357378,770894.3203,0
0.142342,41,50,91,1301,102959,104260,1145.714286,639.305335,732461.2553,0
0.14278,47,57,104,1319,104393,105712,1016.461538,728.3933324,740383.8073,0
0.142852,49,56,105,1325,110185,111510,1062.0,735.026461,780598.1015,0
0.142799,49,59,108,1331,107289,108620,1005.740741,756.3078173,760649.5844,0
0.1425,49,59,108,1325,104393,105718,978.8703704,757.8947368,741880.7018,0
0.459291,46,60,106,1319,108751,110070,1038.396226,230.790501,239651.9853,0
0.196158,46,54,100,1319,101511,102830,1028.3,509.7931259,524220.2714,0
0.143476,49,57,106,1331,108751,110082,1038.509434,738.7995205,767250.2718,0
0.118873,23,28,51,1169,45025,46194,905.7647059,429.0293002,388599.5979,0
0.023773,26,31,57,156,59368,59524,1044.385965,2397.678038,2503848.904,0
0.142438,45,57,102,1325,108751,110076,1079.176471,716.1010405,772799.3934,0
0.152273,68,103,171,1427,215903,217330,1270.935673,1122.983063,1427239.235,0
0.142918,48,58,106,1313,110185,111498,1051.867925,741.6840426,780153.6545,0
0.142342,48,56,104,1331,107289,108620,1044.423077,730.6346686,763091.7087,0
0.196159,46,61,107,1313,105841,107154,1001.439252,545.475864,546260.9414,0
0.188391,46,61,107,1331,107303,108634,1015.271028,567.9676842,576641.1347,0
0.141887,43,58,101,1313,104393,105706,1046.594059,711.8340651,745001.3039,0
0.142743,50,58,108,1337,110185,111522,1032.611111,756.604527,781278.2413,0
0.143077,48,58,106,1325,111647,112972,1065.773585,740.8598167,789588.8228,0
0.145825,29,52,81,1169,98601,99770,1231.728395,555.460312,684176.2386,0
0.142301,44,55,99,1313,104393,105706,1067.737374,695.7083928,742833.8522,0
0.143379,50,60,110,1337,110185,111522,1013.836364,767.1974278,777812.6504,0
0.394746,48,56,104,1319,105855,107174,1030.519231,263.4605544,271501.1678,0
0.062079,8,3,11,1169,137,1306,118.7272727,177.1935759,21037.71001,0
0.122255,22,30,52,1169,47921,49090,944.0384615,425.3404769,401537.7694,0
0.142443,47,55,102,1325,101497,102822,1008.058824,716.075904,721846.6334,0
0.023501,24,27,51,144,56472,56616,1110.235294,2170.12042,2409088.975,0
0.143365,48,61,109,1319,108751,110070,1009.816514,760.2971437,767760.611,0
0.142825,47,57,104,1325,108751,110076,1058.423077,728.1638369,770705.4087,0
0.119793,23,31,54,1169,47921,49090,909.0740741,450.7775913,409790.2215,0
0.142885,46,57,103,1313,111647,112960,1096.699029,720.8594324,790565.8397,0
0.023422,25,33,58,150,55038,55188,951.6206897,2476.304329,2356246.264,0
0.142724,43,62,105,1319,102959,104278,993.1238095,735.685659,730626.9443,0
0.143161,47,53,100,1307,111647,112954,1129.54,698.5142602,788999.7974,0
0.19634,49,60,109,1331,105841,107172,983.2293578,555.1594173,545849.0374,0
0.118573,21,26,47,1169,43577,44746,952.0425532,396.3802889,377370.9023,0
0.189314,48,59,107,1337,105841,107178,1001.663551,565.198559,566138.7959,0
0.142909,40,52,92,1301,102959,104260,1133.26087,643.7663128,729555.1715,0
0.144762,42,56,98,1319,98601,99920,1019.591837,676.9732388,690236.388,0
0.142378,45,56,101,1319,104393,105712,1046.653465,709.379258,742474.2587,0
0.024067,23,28,51,138,55024,55162,1081.72549,2119.084223,2292018.116,0
0.119537,20,28,48,1169,46473,47642,992.5416667,401.5493111,398554.4225,0
0.142424,49,58,107,1325,108751,110076,1028.747664,751.2778745,772875.3581,0
0.142848,49,60,109,1337,107289,108626,996.5688073,763.0488351,760430.6676,0
0.023488,22,27,49,132,56486,56618,1155.591837,2086.171662,2410507.493,0
0.131864,40,49,89,1289,95705,96994,1089.820225,674.9378147,735560.8809,0
0.142592,44,56,100,1319,104393,105712,1057.12,701.3016158,741359.9641,0
0.143358,43,59,102,1319,104393,105712,1036.392157,711.5054619,737398.6802,0
0.142675,49,63,112,1331,110185,111516,995.6785714,785.0008761,781608.5509,0
0.142797,47,58,105,1325,104393,105718,1006.838095,735.3095653,740337.6822,0
0.14274,47,58,105,1319,108751,110070,1048.285714,735.6031946,771122.3203,0
0.142247,42,56,98,1313,104393,105706,1078.632653,688.9424733,743115.8478,0
0.195966,47,57,104,1325,100049,101374,974.75,530.7043058,517304.0221,0
0.18639,51,61,112,1343,105841,107184,957.0,600.8906057,575052.3097,0
0.143354,48,59,107,1325,104393,105718,988.0186916,746.4040069,737461.1103,0
0.142817,39,49,88,1289,98601,99890,1135.113636,616.1731447,699426.5389,0
0.142734,52,61,113,1337,110185,111522,986.920354,791.6824303,781327.5043,0
0.127932,27,50,77,1169,95705,96874,1258.103896,601.8822499,757230.4037,0
0.187229,46,58,104,1319,107303,108622,1044.442308,555.4695053,580155.8519,0
0.142653,49,61,110,1331,110185,111516,1013.781818,771.1019046,781729.0909,0
0.038668,4,1,5,517,0,517,103.4,129.305886,13370.22861,0
0.143726,49,58,107,1325,104393,105718,988.0186916,744.4721206,735552.3705,0
0.122712,42,52,94,1301,95705,97006,1031.978723,766.021253,790517.6348,0
0.234766,44,57,101,1319,102959,104278,1032.455446,430.215619,444178.4586,0
0.142541,51,68,119,1337,110185,111522,937.1596639,834.8475176,782385.4189,0
0.146679,43,53,96,1301,104393,105694,1100.979167,654.4904179,720580.3148,0
0.143835,41,52,93,1301,101497,102798,1105.354839,646.5741996,714693.9201,0
0.119714,19,26,45,1169,47921,49090,1090.888889,375.8958852,410060.6445,0
0.14282,47,53,100,1319,102959,104278,1042.78,700.1820473,730135.8353,0
0.189539,48,64,112,1337,105841,107178,956.9464286,590.9074122,565466.7377,0
0.142826,46,58,104,1319,108751,110070,1058.365385,728.1587386,770658.0034,0
0.023822,23,28,51,138,60830,60968,1195.568627,2140.87818,2559314.919,0
0.187835,48,56,104,1337,105841,107178,1030.557692,553.6774297,570596.5342,0
0.142291,43,60,103,1301,102959,104260,1012.23301,723.8686916,732723.7844,0
0.143701,47,62,109,1313,107289,108602,996.3486239,758.5194258,755749.786,0
0.196404,48,57,105,1331,100049,101380,965.5238095,534.6123297,516180.9332,0
0.142241,43,54,97,1313,98601,99914,1030.041237,681.9412124,702427.5701,0
0.224404,44,58,102,1325,108751,110076,1079.176471,454.5373523,490526.0156,0
0.143577,43,55,98,1301,107289,108590,1108.061224,682.5605773,756318.909,0
0.267407,75,105,180,1463,215903,217366,1207.588889,673.1312195,812865.7814,0
0.149954,50,55,105,1337,105855,107192,1020.87619,700.2147325,714832.5486,0
0.190688,47,60,107,1331,105841,107172,1001.607477,561.1260279,562028.0248,0
0.118946,21,25,46,1169,46473,47642,1035.695652,386.7301128,400534.6964,0
0.023623,28,32,60,168,57920,58088,968.2333333,2539.897557,2458959.489,0
0.148237,48,60,108,1319,110185,111504,1032.444444,728.5630443,752200.8675,0
0.142601,45,57,102,1301,110185,111486,1093.0,715.2825015,781803.7742,0
0.190581,48,59,107,1337,105841,107178,1001.663551,561.4410671,562375.0531,0
0.144,45,56,101,1319,110185,111504,1104.0,701.3888889,774333.3333,0
0.142239,43,54,97,1313,104393,105706,1089.752577,681.9508011,743157.6431,0
0.143462,49,63,112,1325,110185,111510,995.625,780.6945393,777279.0007,0
0.186148,48,55,103,1325,105841,107166,1040.446602,553.3231622,575703.2039,0
0.142726,49,60,109,1325,104393,105718,969.8899083,763.7010776,740705.9681,0
0.141542,44,54,98,1295,101497,102792,1048.897959,692.373995,726229.6703,0
0.109618,21,23,44,1169,43577,44746,1016.954545,401.3939317,408199.3833,0
0.188543,49,66,115,1337,105841,107178,931.9826087,609.940438,568453.8805,0
0.141771,47,55,102,1337,102959,104296,1022.509804,719.4701314,735665.263,0
0.216108,48,58,106,1319,110185,111504,1051.924528,490.495493,515964.2401,0
0.198167,44,52,96,1319,101511,102830,1071.145833,484.4398916,518905.7714,0
0.129383,42,50,92,1289,95705,96994,1054.282609,711.0671417,749665.7212,0
0.123065,40,51,91,1289,95705,96994,1065.868132,739.4466339,788152.6023,0
0.141527,45,53,98,1319,104393,105712,1078.693878,692.4473775,746938.7467,0
0.14216,47,58,105,1325,110185,111510,1062.0,738.6043894,784397.8616,0
0.19751,49,57,106,1337,100049,101386,956.4716981,536.681687,513320.8445,0
0.143658,47,63,110,1313,104393,105706,960.9636364,765.7074441,735817.0098,0
0.197458,48,58,106,1331,100049,101380,956.4150943,536.8230206,513425.6399,0
0.187013,49,62,111,1343,105841,107184,965.6216216,593.5416254,573136.6269,0
0.142868,43,53,96,1319,102959,104278,1086.229167,671.9489319,729890.5283,0
0.153015,22,27,49,1169,46473,47642,972.2857143,320.2300428,311355.0959,0
0.082618,12,12,24,1169,14617,15786,657.75,290.493597,191072.1635,0
0.143452,48,65,113,1319,113081,114400,1012.389381,787.7199342,797479.2962,0
0.024058,27,30,57,162,60816,60978,1069.894737,2369.274254,2534624.657,0
0.198395,45,56,101,1325,100049,101374,1003.70297,509.0854104,510970.5386,0
0.118945,19,25,44,1169,43577,44746,1016.954545,369.9188701,376190.6764,0
0.142273,47,54,101,1319,101497,102816,1017.980198,709.9027925,722666.9853,0
0.142936,47,57,104,1313,104393,105706,1016.403846,727.5983657,739533.7774,0
0.142803,49,59,108,1325,104393,105718,978.8703704,756.2866326,740306.5762,0
0.187656,48,57,105,1337,105841,107178,1020.742857,559.5344673,571140.8108,0
0.14346,44,54,98,1313,104393,105706,1078.632653,683.1172452,736832.5666,0
0.023445,23,29,52,138,54553,54691,1051.865385,2217.95692,2332736.191,0
0.118468,22,27,49,1169,46473,47642,972.2857143,413.6138029,402150.7918,0
0.142724,46,56,102,1319,105855,107174,1050.72549,714.6660688,750917.8554,0
0.14227,43,52,95,1313,102959,104272,1097.6,667.7444296,732916.2859,0
0.122968,43,58,101,1307,101497,102804,1017.861386,821.3518964,836022.3798,0
0.142478,50,64,114,1331,110185,111516,978.2105263,800.1235278,782689.2573,0
0.143531,45,56,101,1313,110185,111498,1103.940594,703.680738,776821.7319,0
0.142245,42,56,98,1301,102959,104260,1063.877551,688.95216,732960.7368,0
0.118879,21,27,48,1169,47921,49090,1022.708333,403.7719025,412940.8895,0
0.118011,21,26,47,1169,46473,47642,1013.659574,398.2679581,403708.1289,0
0.143745,49,59,108,1331,110185,111516,1032.555556,751.3304811,775790.4623,0
0.023739,25,28,53,150,56486,56636,1068.716981,2232.613,2385778.676,0
0.023395,24,28,52,144,55038,55182,1061.307692,2222.697158,2358709.126,0
0.14217,45,54,99,1319,100063,101382,1024.060606,696.3494408,713104.0304,0
0.143016,47,55,102,1313,104393,105706,1036.333333,713.2069139,739120.0985,0
0.035739,4,1,5,517,0,517,103.4,139.903187,14465.98954,0
0.313728,29,54,83,1169,98601,99770,1202.048193,264.5603835,318014.3309,0
0.118733,22,30,52,1169,47921,49090,944.0384615,437.9574339,413448.6621,0
0.023638,27,30,57,162,61793,61955,1087.035088,2411.37152,2620991.624,0
0.143395,40,51,91,1295,102959,104254,1145.648352,634.6106907,727040.6918,0
0.188834,45,56,101,1313,105841,107154,1060.930693,534.8613068,567450.7769,0
0.143901,48,58,106,1319,104393,105712,997.2830189,736.6175357,734616.1597,0
0.14231,46,54,100,1307,104393,105700,1057.0,702.6913077,742744.7122,0
0.142471,49,63,112,1325,104393,105718,943.9107143,786.1248956,742031.7117,0
0.143392,48,65,113,1319,104393,105712,935.5044248,788.0495425,737223.834,0
0.142776,43,53,96,1307,102959,104266,1086.104167,672.3819129,730276.7972,0
0.189269,49,56,105,1331,105841,107172,1020.685714,554.765968,566241.6983,0
0.142761,47,57,104,1331,108751,110082,1058.480769,728.490274,771092.9456,0
0.142255,47,59,106,1319,104393,105712,997.2830189,745.1407683,743116.2349,0
0.188499,46,59,105,1325,105841,107166,1020.628571,557.0321328,568522.9099,0
0.118899,22,29,51,1169,47921,49090,962.5490196,428.9354831,412871.4287,0
0.186555,46,57,103,1319,105841,107160,1040.38835,552.115998,574415.0519,0
0.196173,45,57,102,1313,100049,101362,993.745098,519.9492285,516696.997,0
0.14304,48,58,106,1331,108751,110082,1038.509434,741.0514541,769588.9262,0
0.126748,31,52,83,1169,98601,99770,1202.048193,654.84268,787152.46,0
0.142635,41,55,96,1313,102959,104272,1086.166667,673.0465874,731040.7684,0
0.142665,50,59,109,1337,104393,105730,970.0,764.0276171,741106.7886,0
0.14305,47,66,113,1325,108751,110076,974.1238938,789.9335897,769493.1842,0
0.142709,46,57,103,1325,108751,110076,1068.699029,721.7484531,771331.8712,0
0.144905,49,59,108,1343,110185,111528,1032.666667,745.3158966,769662.8826,0
0.143357,48,65,113,1337,110185,111522,986.920354,788.2419414,777932.0159,0
0.142858,51,61,112,1343,107289,108632,969.9285714,783.995296,760419.4375,0
